case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,62.328799976967275,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,0,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,10.831499996129423,checkoutservice|recommendationservice|frontend|productcatalogservice|main,checkoutservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,0,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,50.89939996832982,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,63.69869998889044,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,1,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,12.046299991197884,checkoutservice|recommendationservice|frontend|productcatalogservice|main,checkoutservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,49.185500014573336,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,2,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,73.58430000022054,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,2,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,14.544200035743415,checkoutservice|recommendationservice|frontend|productcatalogservice|main,checkoutservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,2,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,67.86510004894808,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
OB/productcatalogservice_delay/1,OB,productcatalogservice,delay,1,300,300,burst,0.1,3,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,80.66979999421164,checkoutservice|productcatalogservice|recommendationservice|frontend|cartservice,checkoutservice_latency-90,0.9,5,5,0.9373333333333334,0.8626666666666667,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,402d3a1ce95ae2751a96312780294e90c2a5039351679be3135c7dc0e5c148cb,568268,1716143232000000000,300
