case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,60.03599998075515,cartservice|adservice|checkoutservice|frontend|main,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.475399962160736,cartservice|checkoutservice|frontend|main|paymentservice,cartservice_latency-50,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,63.687499961815774,cartservice|checkoutservice|frontend|recommendationservice|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,60.15930004650727,cartservice|checkoutservice|frontend|main|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.45580004574731,cartservice|checkoutservice|frontend|main|paymentservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,48.2583999983035,cartservice|checkoutservice|recommendationservice|frontend|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,59.28029998904094,cartservice|checkoutservice|frontend|adservice|main,cartservice_latency-50,0.9,5,5,0.8386666666666667,0.9613333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.628099960740656,cartservice|checkoutservice|frontend|main|paymentservice,cartservice_latency-90,0.9,5,5,0.8386666666666667,0.9613333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,48.460999969393015,cartservice|checkoutservice|recommendationservice|frontend|adservice,cartservice_latency-90,0.9,5,5,0.8386666666666667,0.9613333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,111.62009998224676,cartservice|checkoutservice|frontend|adservice|main,cartservice_latency-90,0.9,5,5,0.9206666666666666,0.8793333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,3,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,11.08840003143996,cartservice|checkoutservice|frontend|main|paymentservice,cartservice_latency-50,0.9,5,5,0.9206666666666666,0.8793333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,3,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,49.09909999696538,cartservice|checkoutservice|recommendationservice|frontend|adservice,cartservice_latency-90,0.9,5,5,0.9206666666666666,0.8793333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,4,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,87.97210000921041,cartservice|checkoutservice|frontend|adservice|main,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,4,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.690400027669966,cartservice|checkoutservice|frontend|main|paymentservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
OB/cartservice_delay/2,OB,cartservice,delay,2,300,300,burst,0.1,4,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,73.70960002299398,cartservice|checkoutservice|frontend|recommendationservice|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,fe7588b36d01be3fe262809eef0f955cf2e2765835bb7e04ba09fa46016a7158,574514,1716143232000000000,300
