case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,68.21739999577403,redis|currencyservice|adservice|emailservice|checkoutservice,redis_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,14.296700013801455,currencyservice|cartservice|redis|paymentservice|main,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,66.58099999185652,currencyservice|checkoutservice|emailservice|adservice|paymentservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,70.2939999755472,recommendationservice|currencyservice|redis|adservice|shippingservice,recommendationservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,19.24890000373125,currencyservice|main|cartservice|redis|paymentservice,currencyservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,56.049800012260675,currencyservice|checkoutservice|shippingservice|paymentservice|adservice,currencyservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,53.427500010002404,currencyservice|adservice|checkoutservice|emailservice|shippingservice,currencyservice_cpu,0.9,4,4,0.8025,0.9975,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.920099993702024,currencyservice|main|cartservice|redis|paymentservice,currencyservice_cpu,0.9,4,4,0.8025,0.9975,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,54.04800001997501,currencyservice|checkoutservice|emailservice|paymentservice|shippingservice,currencyservice_cpu,0.9,4,4,0.8025,0.9975,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
OB/currencyservice_cpu/5,OB,currencyservice,cpu,5,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,52.437699981965125,currencyservice|adservice|checkoutservice|emailservice|paymentservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a1b5e2346d170d803e0496872e1703e4f7c22165eb7b718eb30608ac8dd2fde3,2677023,1716143232000000000,300
