case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,67.1716999495402,adservice|recommendationservice|checkoutservice|main|paymentservice,adservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,17.25789997726679,adservice|main|recommendationservice|redis|cartservice,adservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,49.2198999854736,adservice|checkoutservice|recommendationservice|paymentservice|frontend-external,adservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,53.75459999777377,adservice|cartservice|checkoutservice|recommendationservice|main,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.77110002329573,adservice|cartservice|main|frontend|recommendationservice,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,43.23780001141131,adservice|checkoutservice|shippingservice|recommendationservice|paymentservice,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,63.65699996240437,adservice|main|checkoutservice|recommendationservice|cartservice,adservice_cpu,0.9,4,4,0.9066666666666666,0.8933333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,8.46589996945113,recommendationservice|adservice|main|currencyservice|productcatalogservice,recommendationservice_mem,0.9,4,4,0.9066666666666666,0.8933333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,44.43140001967549,adservice|checkoutservice|recommendationservice|paymentservice|frontend-external,adservice_cpu,0.9,4,4,0.9066666666666666,0.8933333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
OB/adservice_cpu/2,OB,adservice,cpu,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,61.733500042464584,adservice|recommendationservice|checkoutservice|main|cartservice,adservice_cpu,0.9,4,4,0.9366666666666666,0.8633333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,136e9e72e29b46691fc6938974e48a9ce7de6c723a11f72639ffde412cd6fded,2665108,1716143232000000000,300
