case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,70.7041000132449,cartservice|redis|productcatalogservice|adservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.896,0.904,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,15.617299999576062,cartservice|recommendationservice|emailservice|productcatalogservice|main,cartservice_latency-90,0.9,5,5,0.896,0.904,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,0,0.1,nsigma,5,0.2,0.2,0.3333333333333333,0,0,1,13,65.71950000943616,emailservice|recommendationservice|frontend|productcatalogservice|cartservice,emailservice_mem,0.9,5,5,0.896,0.904,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,97.04180003609508,cartservice|recommendationservice|redis|productcatalogservice|frontend,cartservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,14.455399999860674,cartservice|checkoutservice|recommendationservice|main|emailservice,cartservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,74.38090001232922,emailservice|cartservice|recommendationservice|frontend|productcatalogservice,emailservice_mem,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,80.13100002426654,cartservice|recommendationservice|redis|frontend|adservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,22.35580002889037,cartservice|recommendationservice|emailservice|paymentservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,2,0.1,nsigma,6,0.16666666666666666,0.0,0.4166666666666667,0,0,0,13,51.795899984426796,emailservice|recommendationservice|frontend|productcatalogservice|frontend-external,emailservice_mem,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
OB/cartservice_loss/2,OB,cartservice,loss,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,67.76599999284372,cartservice|recommendationservice|frontend|adservice|emailservice,cartservice_latency-90,0.9,5,5,0.904,0.896,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,2c19c9aead4d0ca33089c858a81faa624d17f68a97271fef2cd883487e5ebbb4,548408,1716143232000000000,300
