case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,48.26599999796599,adservice|recommendationservice|main|checkoutservice|paymentservice,adservice_mem,0.9,4,4,0.8516666666666667,0.9483333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.607399999164045,adservice|main|paymentservice|shippingservice|checkoutservice,adservice_cpu,0.9,4,4,0.8516666666666667,0.9483333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,52.92099999496713,adservice|main|paymentservice|frontend|frontend-external,adservice_cpu,0.9,4,4,0.8516666666666667,0.9483333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,62.585400009993464,recommendationservice|adservice|main|checkoutservice|paymentservice,recommendationservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.713499992154539,adservice|main|paymentservice|checkoutservice|shippingservice,adservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,38.98980002850294,adservice|main|frontend-external|checkoutservice|emailservice,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,47.680199961178005,adservice|recommendationservice|main|checkoutservice|paymentservice,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,9.222599968779832,adservice|main|paymentservice|currencyservice|checkoutservice,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,54.39320002915338,adservice|main|frontend-external|cartservice|frontend,adservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
OB/adservice_cpu/4,OB,adservice,cpu,4,300,300,burst,0.1,3,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,65.76899997889996,recommendationservice|adservice|main|checkoutservice|paymentservice,recommendationservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7eb0b7e26d03339ceef8da8d522ca2f8d56862e44325f3c2be2fdd3e7d738720,2642686,1716143232000000000,300
