case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,52.74369998369366,currencyservice|emailservice|paymentservice|shippingservice|cartservice,currencyservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,17.76009995955974,currencyservice|paymentservice|main|checkoutservice|cartservice,currencyservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,0,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,46.25879996456206,recommendationservice|currencyservice|paymentservice|emailservice|shippingservice,recommendationservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,75.5563999991864,currencyservice|checkoutservice|emailservice|paymentservice|cartservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.477100033313036,currencyservice|checkoutservice|main|paymentservice|cartservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,43.501899985130876,recommendationservice|currencyservice|checkoutservice|emailservice|cartservice,recommendationservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,65.93630003044382,currencyservice|emailservice|checkoutservice|paymentservice|shippingservice,currencyservice_cpu,0.9,4,4,0.8966666666666666,0.9033333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,13.718299975153059,currencyservice|paymentservice|checkoutservice|main|cartservice,currencyservice_cpu,0.9,4,4,0.8966666666666666,0.9033333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,2,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,44.39200001070276,emailservice|recommendationservice|currencyservice|checkoutservice|shippingservice,emailservice_mem,0.9,4,4,0.8966666666666666,0.9033333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
OB/currencyservice_cpu/3,OB,currencyservice,cpu,3,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,73.67579999845475,currencyservice|checkoutservice|emailservice|paymentservice|shippingservice,currencyservice_cpu,0.9,4,4,0.8866666666666667,0.9133333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,5823b82322fffb122a1b3803fd498c105e05adae45bc03d0aa56e3554e937f05,2655003,1716143232000000000,300
