case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,79.25159996375442,cartservice|recommendationservice|frontend|redis|adservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,12.233000015839934,recommendationservice|cartservice|frontend|adservice|main,recommendationservice_mem,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,82.41309999721125,cartservice|recommendationservice|frontend|adservice|shippingservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,69.43680002586916,cartservice|redis|recommendationservice|frontend|adservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,25.124699983280152,recommendationservice|cartservice|frontend|adservice|currencyservice,recommendationservice_mem,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,76.05480001075193,cartservice|recommendationservice|frontend|shippingservice|adservice,cartservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,73.52129998616874,cartservice|redis|recommendationservice|frontend|adservice,cartservice_latency-90,0.9,5,5,0.8,1.0,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,18.012300017289817,recommendationservice|cartservice|frontend|adservice|currencyservice,recommendationservice_mem,0.9,5,5,0.8,1.0,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,84.88510001916438,cartservice|recommendationservice|frontend|adservice|shippingservice,cartservice_latency-90,0.9,5,5,0.8,1.0,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
OB/cartservice_loss/5,OB,cartservice,loss,5,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,74.23349999589846,cartservice|recommendationservice|redis|frontend|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,240f9dbbd6c5b0d33250d662289e477826345904388138566ec3efb563371d4b,549004,1716143232000000000,300
