case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,0,0.10063768115942029,baro,1,1.0,1.0,0.0,1,1,1,14,65.56710001314059,cartservice|emailservice|checkoutservice|currencyservice|adservice,cartservice_mem,0.9,5,5,0.9333333333333333,0.8666666666666667,5,5,5,0.8916091954022989,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,0,0.10063768115942029,median_shift,2,0.5,0.8,0.07692307692307693,0,1,1,14,11.859500024002045,recommendationservice|cartservice|adservice|checkoutservice|currencyservice,recommendationservice_mem,0.9,5,5,0.9333333333333333,0.8666666666666667,5,5,5,0.8916091954022989,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,0,0.10063768115942029,nsigma,1,1.0,1.0,0.0,1,1,1,14,78.30990001093596,cartservice|recommendationservice|emailservice|checkoutservice|adservice,cartservice_latency-90,0.9,5,5,0.9333333333333333,0.8666666666666667,5,5,5,0.8916091954022989,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,1,0.09913043478260869,baro,1,1.0,1.0,0.0,1,1,1,14,73.66440002806485,cartservice|emailservice|redis|currencyservice|checkoutservice,cartservice_mem,0.9,5,5,0.88,0.92,5,5,5,0.8931034482758621,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,1,0.09913043478260869,median_shift,1,1.0,1.0,0.0,1,1,1,14,11.501000029966235,cartservice|checkoutservice|adservice|emailservice|recommendationservice,cartservice_mem,0.9,5,5,0.88,0.92,5,5,5,0.8931034482758621,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,1,0.09913043478260869,nsigma,1,1.0,1.0,0.0,1,1,1,14,59.076600009575486,cartservice|recommendationservice|emailservice|checkoutservice|adservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.8931034482758621,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,2,0.09918840579710145,baro,1,1.0,1.0,0.0,1,1,1,14,123.12989996280521,cartservice|currencyservice|emailservice|checkoutservice|paymentservice,cartservice_mem,0.9,5,5,0.88,0.92,5,5,5,0.8930459770114942,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,2,0.09918840579710145,median_shift,2,0.5,0.8,0.07692307692307693,0,1,1,14,11.927699961233884,recommendationservice|cartservice|checkoutservice|adservice|emailservice,recommendationservice_mem,0.9,5,5,0.88,0.92,5,5,5,0.8930459770114942,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,2,0.09918840579710145,nsigma,1,1.0,1.0,0.0,1,1,1,14,76.85080001829192,cartservice|recommendationservice|emailservice|adservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.8930459770114942,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
OB/cartservice_disk/3,OB,cartservice,disk,3,300,300,burst,0.1,3,0.10020289855072463,baro,1,1.0,1.0,0.0,1,1,1,14,78.80030001979321,cartservice|emailservice|recommendationservice|currencyservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.9433333333333334,0.8566666666666667,5,5,5,0.8920402298850575,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,145784cb95bef0363c710a569e5ddb9d19bc39821220cfe4de6bf866df1f8ca7,580731,1716143232000000000,300
