case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,52.40030004642904,cartservice|productcatalogservice|main|recommendationservice|emailservice,cartservice_mem,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,0,0.1,median_shift,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,9.15469997562468,recommendationservice|cartservice|productcatalogservice|main|frontend,recommendationservice_mem,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,0,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,43.26159995980561,emailservice|cartservice|productcatalogservice|recommendationservice|shippingservice,emailservice_mem,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,50.78099999809638,cartservice|productcatalogservice|recommendationservice|main|currencyservice,cartservice_mem,0.9,4,4,0.8791666666666667,0.9208333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,8.894299971871078,cartservice|productcatalogservice|main|frontend|adservice,cartservice_mem,0.9,4,4,0.8791666666666667,0.9208333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,1,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,41.642699972726405,emailservice|cartservice|productcatalogservice|recommendationservice|checkoutservice,emailservice_mem,0.9,4,4,0.8791666666666667,0.9208333333333333,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,2,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,64.66169998748228,cartservice|productcatalogservice|frontend|main|currencyservice,cartservice_mem,0.9,4,4,0.855,0.945,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,9.835099976044148,cartservice|productcatalogservice|main|adservice|frontend,cartservice_mem,0.9,4,4,0.855,0.945,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,2,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,42.211599997244775,cartservice|productcatalogservice|checkoutservice|paymentservice|recommendationservice,cartservice_mem,0.9,4,4,0.855,0.945,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,3,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,80.7245000032708,cartservice|productcatalogservice|main|currencyservice|recommendationservice,cartservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,3,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,8.861800015438348,cartservice|productcatalogservice|main|adservice|currencyservice,cartservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
OB/productcatalogservice_cpu/4,OB,productcatalogservice,cpu,4,300,300,burst,0.1,3,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,43.810500006657094,emailservice|cartservice|productcatalogservice|checkoutservice|paymentservice,emailservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,7395b15fe6660b912a139587553f47c87cb3a2f73e430f553b3545669363d64c,2666667,1716143232000000000,300
