case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,71.8013999867253,paymentservice|currencyservice|checkoutservice|emailservice|frontend,paymentservice_latency-90,0.9,5,5,0.8426666666666667,0.9573333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,16.27969997934997,checkoutservice|currencyservice|paymentservice|frontend|cartservice,checkoutservice_latency-50,0.9,5,5,0.8426666666666667,0.9573333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,50.52320001414046,currencyservice|checkoutservice|paymentservice|emailservice|frontend,currencyservice_latency-50,0.9,5,5,0.8426666666666667,0.9573333333333334,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,1,0.1,baro,4,0.25,0.4,0.25,0,0,1,13,62.588199973106384,paymentservice|checkoutservice|emailservice|currencyservice|cartservice,paymentservice_latency-90,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,21.35739999357611,checkoutservice|currencyservice|paymentservice|emailservice|frontend,checkoutservice_latency-50,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,50.71949999546632,checkoutservice|currencyservice|paymentservice|emailservice|frontend,checkoutservice_latency-50,0.9,5,5,0.92,0.88,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,2,0.1,baro,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,63.74000001233071,paymentservice|checkoutservice|currencyservice|emailservice|frontend,paymentservice_latency-90,0.9,5,5,0.8906666666666667,0.9093333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,20.1056000078097,checkoutservice|currencyservice|paymentservice|emailservice|frontend,checkoutservice_latency-50,0.9,5,5,0.8906666666666667,0.9093333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,56.89649999840185,currencyservice|checkoutservice|paymentservice|emailservice|frontend,currencyservice_latency-50,0.9,5,5,0.8906666666666667,0.9093333333333333,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,3,0.1,baro,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,62.260600039735436,checkoutservice|paymentservice|currencyservice|emailservice|frontend,checkoutservice_latency-50,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,3,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,11.072599969338626,checkoutservice|currencyservice|paymentservice|frontend|cartservice,checkoutservice_latency-50,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,3,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,49.5875000488013,currencyservice|checkoutservice|paymentservice|emailservice|frontend,currencyservice_latency-50,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,4,0.1,baro,4,0.25,0.4,0.25,0,0,1,13,63.00130003364757,paymentservice|checkoutservice|emailservice|currencyservice|frontend,paymentservice_latency-90,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,4,0.1,median_shift,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,11.081799981184304,paymentservice|checkoutservice|currencyservice|frontend|emailservice,paymentservice_latency-90,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,4,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,49.37780002364889,checkoutservice|currencyservice|paymentservice|emailservice|frontend,checkoutservice_latency-50,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,5,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,63.211800006683916,paymentservice|currencyservice|checkoutservice|emailservice|frontend,paymentservice_latency-90,0.9,5,5,0.958,0.842,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,5,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,10.67629997851327,checkoutservice|currencyservice|paymentservice|frontend|cartservice,checkoutservice_latency-50,0.9,5,5,0.958,0.842,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
OB/currencyservice_disk/5,OB,currencyservice,disk,5,300,300,burst,0.1,5,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,50.14220002340153,currencyservice|checkoutservice|paymentservice|emailservice|frontend,currencyservice_latency-50,0.9,5,5,0.958,0.842,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,1e4fdff3244a50260474861b43b9a66e6a9ee9de37fbdb6f1ba88ea9cd873e40,571124,1716143232000000000,300
