case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,66.09320000279695,cartservice|checkoutservice|emailservice|paymentservice|recommendationservice,cartservice_latency-90,0.9,5,5,0.892,0.908,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,12.90480000898242,redis|checkoutservice|productcatalogservice|cartservice|adservice,redis_mem,0.9,5,5,0.892,0.908,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,70.46710001304746,checkoutservice|recommendationservice|paymentservice|productcatalogservice|emailservice,checkoutservice_cpu,0.9,5,5,0.892,0.908,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,64.4048000103794,cartservice|checkoutservice|emailservice|productcatalogservice|shippingservice,cartservice_latency-90,0.9,5,5,0.874,0.926,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,10.795900016091764,redis|checkoutservice|cartservice|productcatalogservice|emailservice,redis_mem,0.9,5,5,0.874,0.926,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,65.55719999596477,checkoutservice|recommendationservice|paymentservice|shippingservice|emailservice,checkoutservice_cpu,0.9,5,5,0.874,0.926,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,2,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,75.67079999716952,cartservice|checkoutservice|emailservice|recommendationservice|paymentservice,cartservice_latency-90,0.9,5,5,0.97,0.83,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,10.984399996232241,redis|checkoutservice|cartservice|productcatalogservice|emailservice,redis_mem,0.9,5,5,0.97,0.83,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,50.038799992762506,checkoutservice|paymentservice|shippingservice|recommendationservice|emailservice,checkoutservice_cpu,0.9,5,5,0.97,0.83,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
OB/checkoutservice_disk/3,OB,checkoutservice,disk,3,300,300,burst,0.1,3,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,77.5100999744609,cartservice|checkoutservice|emailservice|recommendationservice|shippingservice,cartservice_latency-90,0.9,5,5,0.998,0.802,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b268ac0826fe6ea6abd7c65855e74b8ecfb241ee6bd3c342d1e2c914380a055b,577432,1716143232000000000,300
