case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,56.405599985737354,productcatalogservice|checkoutservice|recommendationservice|shippingservice|adservice,productcatalogservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,19.562100002076477,main|productcatalogservice|recommendationservice|checkoutservice|shippingservice,main_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,47.421100025530905,productcatalogservice|recommendationservice|checkoutservice|shippingservice|cartservice,productcatalogservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,60.396799992304295,productcatalogservice|recommendationservice|checkoutservice|shippingservice|cartservice,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.90890002483502,productcatalogservice|main|checkoutservice|recommendationservice|shippingservice,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,55.83379999734461,productcatalogservice|recommendationservice|checkoutservice|shippingservice|cartservice,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,59.88459999207407,productcatalogservice|recommendationservice|checkoutservice|shippingservice|adservice,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,10.57109999237582,productcatalogservice|main|recommendationservice|checkoutservice|shippingservice,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,52.29369999142364,productcatalogservice|recommendationservice|checkoutservice|shippingservice|main,productcatalogservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
OB/productcatalogservice_mem/2,OB,productcatalogservice,mem,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,54.57639996893704,productcatalogservice|recommendationservice|checkoutservice|adservice|shippingservice,productcatalogservice_mem,0.9,4,4,1.0,0.8,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,968bd3cc93dfb752d3b2bbb5a8dd2f1d24ac01b2a885064e81aeb3c731f3dd07,2699479,1716143232000000000,300
