case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,52.58649995084852,emailservice|currencyservice|redis|paymentservice|cartservice,emailservice_latency,0.9,4,4,0.8891666666666667,0.9108333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,0,0.1,median_shift,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,9.070799977052957,recommendationservice|emailservice|currencyservice|redis|paymentservice,recommendationservice_mem,0.9,4,4,0.8891666666666667,0.9108333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,0,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,42.330199969001114,emailservice|currencyservice|paymentservice|checkoutservice|cartservice,emailservice_mem,0.9,4,4,0.8891666666666667,0.9108333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,67.40880000870675,currencyservice|emailservice|redis|paymentservice|cartservice,currencyservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,1,0.1,median_shift,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,18.30499997595325,recommendationservice|emailservice|currencyservice|paymentservice|redis,recommendationservice_mem,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,43.38899999856949,currencyservice|paymentservice|cartservice|checkoutservice|emailservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,71.06769998790696,currencyservice|emailservice|redis|paymentservice|main,currencyservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,2,0.1,median_shift,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,18.713299999944866,recommendationservice|emailservice|currencyservice|redis|checkoutservice,recommendationservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,2,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,58.95470001269132,emailservice|currencyservice|paymentservice|checkoutservice|shippingservice,emailservice_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
OB/currencyservice_cpu/2,OB,currencyservice,cpu,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,51.744299998972565,currencyservice|emailservice|redis|paymentservice|cartservice,currencyservice_mem,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,61ad72c059b64413c88b1f7331e5ac7c885a5eaddc71055c6f353c237c8acee2,2707942,1716143232000000000,300
