case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,53.9052999811247,checkoutservice|paymentservice|currencyservice|shippingservice|main,checkoutservice_cpu,0.9,4,4,0.9033333333333333,0.8966666666666666,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,9.001900034490973,recommendationservice|checkoutservice|main|paymentservice|cartservice,recommendationservice_mem,0.9,4,4,0.9033333333333333,0.8966666666666666,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,42.470999993383884,checkoutservice|paymentservice|main|shippingservice|cartservice,checkoutservice_cpu,0.9,4,4,0.9033333333333333,0.8966666666666666,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,54.27799996687099,checkoutservice|paymentservice|currencyservice|emailservice|cartservice,checkoutservice_cpu,0.9,4,4,0.91,0.89,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,11.205499991774559,recommendationservice|checkoutservice|main|adservice|paymentservice,recommendationservice_mem,0.9,4,4,0.91,0.89,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,43.087399972137064,checkoutservice|paymentservice|main|cartservice|shippingservice,checkoutservice_cpu,0.9,4,4,0.91,0.89,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,80.60250000562519,checkoutservice|paymentservice|currencyservice|shippingservice|cartservice,checkoutservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,9.738399996422231,checkoutservice|main|paymentservice|adservice|cartservice,checkoutservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,51.89649999374524,checkoutservice|paymentservice|main|cartservice|emailservice,checkoutservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
OB/checkoutservice_cpu/3,OB,checkoutservice,cpu,3,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,62.65589996473864,checkoutservice|paymentservice|currencyservice|cartservice|shippingservice,checkoutservice_cpu,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bb8a70a6adfb2098ee5c7521bc3b35ae90923d22e89a7487443af4e2cbc02b00,2650480,1716143232000000000,300
