case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,0,0.1,baro,5,0.2,0.2,0.3333333333333333,0,0,1,13,94.22989998711273,cartservice|recommendationservice|emailservice|paymentservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,0,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,12.946699978783727,productcatalogservice|emailservice|paymentservice|checkoutservice|main,productcatalogservice_latency-90,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,0,0.1,nsigma,4,0.25,0.4,0.25,0,0,1,13,58.659100031945854,recommendationservice|cartservice|paymentservice|checkoutservice|emailservice,recommendationservice_mem,0.9,5,5,0.88,0.92,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,1,0.1,baro,5,0.2,0.2,0.3333333333333333,0,0,1,13,61.804500001017004,cartservice|emailservice|recommendationservice|paymentservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,1,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,11.14010001765564,productcatalogservice|emailservice|paymentservice|checkoutservice|main,productcatalogservice_latency-90,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,1,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,60.797000012826174,recommendationservice|cartservice|checkoutservice|paymentservice|emailservice,recommendationservice_mem,0.9,5,5,0.84,0.96,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,2,0.1,baro,5,0.2,0.2,0.3333333333333333,0,0,1,13,62.36390001140535,cartservice|recommendationservice|emailservice|paymentservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,2,0.1,median_shift,4,0.25,0.4,0.25,0,0,1,13,10.929499985650182,productcatalogservice|paymentservice|emailservice|checkoutservice|main,productcatalogservice_latency-90,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,2,0.1,nsigma,3,0.3333333333333333,0.6,0.16666666666666666,0,1,1,13,60.9489000053145,cartservice|recommendationservice|checkoutservice|paymentservice|emailservice,cartservice_latency-90,0.9,5,5,0.96,0.84,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
OB/checkoutservice_loss/1,OB,checkoutservice,loss,1,300,300,burst,0.1,3,0.1,baro,5,0.2,0.2,0.3333333333333333,0,0,1,13,68.71809996664524,cartservice|emailservice|recommendationservice|paymentservice|checkoutservice,cartservice_latency-90,0.9,5,5,0.9533333333333334,0.8466666666666667,5,5,5,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,3b6f69b5b2f1924efdd4186f1c3e2090a0dcf9886d11d236a2db631f98aef0a2,560617,1716143232000000000,300
