case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,61.284399998839945,currencyservice|emailservice|checkoutservice|cartservice|recommendationservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,9.22890001675114,currencyservice|checkoutservice|emailservice|productcatalogservice|cartservice,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,52.56270000245422,currencyservice|cartservice|emailservice|adservice|main,currencyservice_cpu,0.9,4,4,0.9,0.9,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.08333333333333333,0,1,1,13,61.851699952967465,emailservice|currencyservice|cartservice|recommendationservice|shippingservice,emailservice_latency,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,9.103299991693348,currencyservice|shippingservice|cartservice|checkoutservice|adservice,currencyservice_cpu,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,65.63730002380908,currencyservice|cartservice|adservice|productcatalogservice|emailservice,currencyservice_cpu,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,52.90479998802766,currencyservice|cartservice|emailservice|recommendationservice|shippingservice,currencyservice_cpu,0.9,4,4,0.9208333333333333,0.8791666666666667,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,9.531699994113296,paymentservice|currencyservice|recommendationservice|emailservice|productcatalogservice,paymentservice_latency,0.9,4,4,0.9208333333333333,0.8791666666666667,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,2,0.1,nsigma,2,0.5,0.8,0.08333333333333333,0,1,1,13,44.58579997299239,cartservice|currencyservice|emailservice|main|paymentservice,cartservice_mem,0.9,4,4,0.9208333333333333,0.8791666666666667,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
OB/currencyservice_cpu/1,OB,currencyservice,cpu,1,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,65.6843000324443,currencyservice|emailservice|shippingservice|cartservice|checkoutservice,currencyservice_cpu,0.9,4,4,0.85,0.95,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,9420bd29dd3d67c0b413c8323afc364ec346b964124ab059de12d727805b5160,2681276,1716143232000000000,300
