case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,64.5838999771513,cartservice|adservice|shippingservice|currencyservice|productcatalogservice,cartservice_cpu,0.9,4,4,0.9091666666666667,0.8908333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,9.217799990437925,main|cartservice|frontend|redis|paymentservice,main_mem,0.9,4,4,0.9091666666666667,0.8908333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,48.88870002469048,cartservice|recommendationservice|main|paymentservice|productcatalogservice,cartservice_cpu,0.9,4,4,0.9091666666666667,0.8908333333333334,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,51.51359998853877,cartservice|recommendationservice|adservice|shippingservice|currencyservice,cartservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.08333333333333333,0,1,1,13,11.152399994898587,main|cartservice|currencyservice|frontend|redis,main_mem,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,57.04320000950247,cartservice|emailservice|recommendationservice|main|paymentservice,cartservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,66.78229995304719,cartservice|recommendationservice|adservice|paymentservice|productcatalogservice,cartservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,13,8.98290000623092,cartservice|main|shippingservice|frontend|redis,cartservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,13,55.83590001333505,cartservice|emailservice|main|recommendationservice|paymentservice,cartservice_cpu,0.9,4,4,0.95,0.85,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
OB/cartservice_cpu/5,OB,cartservice,cpu,5,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,13,55.239500012248755,cartservice|redis|adservice|shippingservice|currencyservice,cartservice_mem,0.9,4,4,0.8,1.0,4,4,4,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,776118e8eb37060853455963c1ead54c5fd57ec7b0c592738d76a55f23acd575,2648268,1716143232000000000,300
