case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,0,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,349.0744000300765,front-end|shipping|session-db|catalogue-db|payment,front-end_container-memory-max-usage-bytes,0.9,30,30,0.8625555555555555,0.9374444444444444,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,0,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,94.35880003729835,catalogue|front-end|payment|session-db|user,catalogue_container-memory-max-usage-bytes,0.9,30,30,0.8625555555555555,0.9374444444444444,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,405.1820999593474,payment|orders|front-end|catalogue|carts-db,payment_istio-latency-99,0.9,30,30,0.8625555555555555,0.9374444444444444,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,1,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,310.06239994894713,front-end|shipping|session-db|rabbitmq|catalogue-db,front-end_container-memory-max-usage-bytes,0.9,30,30,0.8822222222222222,0.9177777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,1,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,83.3876000251621,catalogue|front-end|payment|user|catalogue-db,catalogue_container-memory-max-usage-bytes,0.9,30,30,0.8822222222222222,0.9177777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,322.4093000171706,payment|orders|front-end|catalogue|carts-db,payment_istio-latency-99,0.9,30,30,0.8822222222222222,0.9177777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,2,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,339.98230000725016,front-end|shipping|session-db|catalogue-db|payment,front-end_container-memory-max-usage-bytes,0.9,30,30,0.8953333333333333,0.9046666666666666,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,2,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,80.68470004945993,catalogue|front-end|payment|rabbitmq|user,catalogue_container-memory-max-usage-bytes,0.9,30,30,0.8953333333333333,0.9046666666666666,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,251.91009999252856,payment|orders|front-end|catalogue|carts-db,payment_istio-latency-99,0.9,30,30,0.8953333333333333,0.9046666666666666,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
SS/payment_loss/5,SS,payment,loss,5,300,300,burst,0.1,3,0.1,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,338.3810999803245,front-end|session-db|catalogue-db|payment|orders,front-end_container-memory-max-usage-bytes,0.9,30,30,0.8585555555555555,0.9414444444444444,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,31bc57ba250ebfd6cdae8a59980f4fd867515824d33f2b75616c904a33cad8e3,3539568,1693228978000000000,300
