case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,0,0.09986143081274837,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,352.33209998114035,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.890483870967742,31,31,0.9043010752688172,0.8766666666666667,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,0,0.09986143081274837,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,132.08169996505603,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-rss,0.890483870967742,31,31,0.9043010752688172,0.8766666666666667,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,0,0.09986143081274837,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,304.74120000144467,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9043010752688172,0.8766666666666667,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,1,0.10009047079167668,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,414.8528999648988,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.887258064516129,31,31,0.8925806451612903,0.8819354838709678,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,1,0.10009047079167668,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,101.33679996943101,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.887258064516129,31,31,0.8925806451612903,0.8819354838709678,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,1,0.10009047079167668,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,321.0835000500083,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.887258064516129,31,31,0.8925806451612903,0.8819354838709678,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,2,0.09986143081274837,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,390.3660000069067,catalogue|orders|front-end|session-db|shipping,catalogue_container-memory-rss,0.890483870967742,31,31,0.901505376344086,0.8794623655913979,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,2,0.09986143081274837,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,101.2275000102818,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.890483870967742,31,31,0.901505376344086,0.8794623655913979,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,2,0.09986143081274837,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,370.008300000336,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-reads-completed-total,0.890483870967742,31,31,0.901505376344086,0.8794623655913979,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,3,0.09986143081274837,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,389.3804000108503,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.890483870967742,31,31,0.9167741935483871,0.8641935483870967,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,3,0.09986143081274837,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,145.66159999230877,192-168-33-0-9100|catalogue|front-end|orders|shipping,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9167741935483871,0.8641935483870967,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,3,0.09986143081274837,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,316.1452999920584,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9167741935483871,0.8641935483870967,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,4,0.09986143081274837,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,404.8400999745354,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.890483870967742,31,31,0.9096774193548387,0.8712903225806452,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,4,0.09986143081274837,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,100.74600001098588,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.890483870967742,31,31,0.9096774193548387,0.8712903225806452,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,4,0.09986143081274837,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,321.09480001963675,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9096774193548387,0.8712903225806452,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,5,0.09994159480537328,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,413.23930001817644,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.8893548387096775,31,31,0.8941935483870967,0.8845161290322581,31,31,31,0.8992448512585812,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,5,0.09994159480537328,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,94.80259998235852,catalogue|front-end|orders|192-168-15-8-9100|shipping,catalogue_container-memory-failures-total,0.8893548387096775,31,31,0.8941935483870967,0.8845161290322581,31,31,31,0.8992448512585812,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,5,0.09994159480537328,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,354.29709998425096,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.8893548387096775,31,31,0.8941935483870967,0.8845161290322581,31,31,31,0.8992448512585812,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,6,0.0999530468043197,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,427.8536000056192,catalogue|192-168-15-8-9100|192-168-33-0-9100|orders|front-end,catalogue_container-memory-rss,0.8891935483870967,31,31,0.8904301075268817,0.8879569892473118,31,31,31,0.899233409610984,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,6,0.0999530468043197,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,142.796800006181,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-rss,0.8891935483870967,31,31,0.8904301075268817,0.8879569892473118,31,31,31,0.899233409610984,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,6,0.0999530468043197,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,286.02699999464676,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.8891935483870967,31,31,0.8904301075268817,0.8879569892473118,31,31,31,0.899233409610984,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,7,0.0999034214755519,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,398.96700001554564,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.8898924731182796,31,31,0.9065591397849463,0.8732258064516129,31,31,31,0.8992829900839054,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,7,0.0999034214755519,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,83.25150003656745,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.8898924731182796,31,31,0.9065591397849463,0.8732258064516129,31,31,31,0.8992829900839054,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,7,0.0999034214755519,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,369.7387999854982,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.8898924731182796,31,31,0.9065591397849463,0.8732258064516129,31,31,31,0.8992829900839054,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,8,0.09986143081274837,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,408.9631999959238,192-168-33-0-9100|orders|front-end|session-db|shipping,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9077419354838709,0.8732258064516129,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,8,0.09986143081274837,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,106.70630005188286,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.890483870967742,31,31,0.9077419354838709,0.8732258064516129,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,8,0.09986143081274837,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,268.7184000387788,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.890483870967742,31,31,0.9077419354838709,0.8732258064516129,31,31,31,0.899324942791762,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,9,0.10009047079167668,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,374.5018999907188,catalogue|192-168-33-0-9100|orders|front-end|session-db,catalogue_container-memory-rss,0.887258064516129,31,31,0.8883870967741936,0.8861290322580645,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,9,0.10009047079167668,median_shift,5,0.2,0.2,0.18181818181818182,0,0,1,23,99.98729999642819,192-168-33-0-9100|catalogue|front-end|orders-db|orders,192-168-33-0-9100_node-disk-read-bytes-total,0.887258064516129,31,31,0.8883870967741936,0.8861290322580645,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.1,9,0.10009047079167668,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,327.8233000310138,192-168-33-0-9100|orders|front-end|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.887258064516129,31,31,0.8883870967741936,0.8861290322580645,31,31,31,0.8990961098398169,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.3,0,0.3002714123750301,baro,9,0.1111111111111111,0.0,0.36363636363636365,0,0,0,23,344.81080004479736,user-db|queue-master|carts-db|payment|192-168-15-8-9100,user-db_container-memory-cache,0.687258064516129,31,31,0.6650537634408602,0.7094623655913979,31,31,31,0.699096109839817,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.3,0,0.3002714123750301,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,88.37409998523071,catalogue|front-end|orders|shipping|carts,catalogue_container-memory-failures-total,0.687258064516129,31,31,0.6650537634408602,0.7094623655913979,31,31,31,0.699096109839817,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.3,0,0.3002714123750301,nsigma,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,287.10950003005564,192-168-33-0-9100|front-end|orders|shipping|payment,192-168-33-0-9100_node-disk-read-bytes-total,0.687258064516129,31,31,0.6650537634408602,0.7094623655913979,31,31,31,0.699096109839817,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
SS/orders_delay/4,SS,orders,delay,4,300,300,burst,0.3,1,0.30011108438978024,baro,8,0.125,0.0,0.3181818181818182,0,0,0,23,416.6679000481963,192-168-15-8-9100|carts-db|front-end|orders-db|catalogue,192-168-15-8-9100_node-memory-active-bytes,0.6895161290322581,31,31,0.7112903225806452,0.667741935483871,31,30,30,0.6992562929061785,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,94b9c97f6ee0873ed15c346bc5bae74baa4e624cf222fa5a2f76ab5f303f4e8e,3496176,1693138378000000000,300
