case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,0,0.1,baro,7,0.14285714285714285,0.0,0.2727272727272727,0,0,0,23,392.06079998984933,user|rabbitmq|session-db|queue-master|catalogue-db,user_container-memory-rss,0.9,31,31,0.9043010752688172,0.8956989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,98.9619999891147,front-end|orders|payment|rabbitmq|session-db,front-end_container-memory-max-usage-bytes,0.9,31,31,0.9043010752688172,0.8956989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,0,0.1,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,276.9185000215657,queue-master|orders|front-end|catalogue|shipping,queue-master_istio-latency-99,0.9,31,31,0.9043010752688172,0.8956989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,1,0.1,baro,7,0.14285714285714285,0.0,0.2727272727272727,0,0,0,23,353.39760000351816,user|rabbitmq|session-db|queue-master|catalogue-db,user_container-memory-rss,0.9,31,31,0.8736559139784946,0.9263440860215054,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,107.76980000082403,front-end|orders|session-db|user|catalogue-db,front-end_container-memory-max-usage-bytes,0.9,31,31,0.8736559139784946,0.9263440860215054,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,322.5004999549128,queue-master|orders|front-end|catalogue|carts,queue-master_istio-latency-99,0.9,31,31,0.8736559139784946,0.9263440860215054,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,2,0.1,baro,7,0.14285714285714285,0.0,0.2727272727272727,0,0,0,23,396.97639999212697,user|rabbitmq|queue-master|catalogue-db|session-db,user_container-memory-rss,0.9,31,31,0.9083870967741936,0.8916129032258064,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,105.751600000076,front-end|orders|session-db|user|catalogue-db,front-end_container-memory-max-usage-bytes,0.9,31,31,0.9083870967741936,0.8916129032258064,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,2,0.1,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,303.25379996793345,queue-master|orders|front-end|catalogue|carts,queue-master_istio-latency-99,0.9,31,31,0.9083870967741936,0.8916129032258064,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
SS/orders_cpu/3,SS,orders,cpu,3,300,300,burst,0.1,3,0.1,baro,7,0.14285714285714285,0.0,0.2727272727272727,0,0,0,23,344.43289996124804,user|rabbitmq|queue-master|catalogue-db|session-db,user_container-memory-rss,0.9,31,31,0.8938709677419355,0.9061290322580645,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,d520cfd24b9d9a08ddb1bf5bf6a5900375fb90d9148dd3a245294f4ae146b1da,3548349,1693133458000000000,300
