case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,329.6674999874085,user|session-db|front-end|orders|catalogue-db,user_istio-latency-90,0.9,31,31,0.8862365591397849,0.9137634408602151,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,112.21069999737665,front-end|user|catalogue-db|orders|carts,front-end_container-memory-max-usage-bytes,0.9,31,31,0.8862365591397849,0.9137634408602151,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,285.88509996188805,user|front-end|orders|catalogue-db|carts,user_istio-latency-90,0.9,31,31,0.8862365591397849,0.9137634408602151,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,369.0523999975994,user|session-db|front-end|orders|catalogue-db,user_istio-latency-95,0.9,31,31,0.8813978494623655,0.9186021505376344,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,111.72869999427348,front-end|user|catalogue-db|orders|carts,front-end_container-memory-max-usage-bytes,0.9,31,31,0.8813978494623655,0.9186021505376344,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,312.16809997567907,user|front-end|orders|catalogue-db|carts,user_istio-latency-95,0.9,31,31,0.8813978494623655,0.9186021505376344,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,407.584999979008,user|session-db|front-end|orders|catalogue-db,user_istio-latency-95,0.9,31,31,0.8806451612903226,0.9193548387096774,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,102.45140001643449,front-end|user|catalogue-db|orders|carts,front-end_container-memory-max-usage-bytes,0.9,31,31,0.8806451612903226,0.9193548387096774,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,309.12039999384433,user|orders|front-end|catalogue-db|carts,user_istio-latency-95,0.9,31,31,0.8806451612903226,0.9193548387096774,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
SS/user_cpu/5,SS,user,cpu,5,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,331.51440002257004,user|session-db|front-end|orders|catalogue-db,user_istio-latency-95,0.9,31,31,0.8920430107526882,0.9079569892473118,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b1e4a650e3f07337abc47675069383473cfb978bb23f469078fe3ec22be1d1ba,3518987,1693216188000000000,300
