case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,0,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,387.7096999785863,queue-master|192-168-15-8-9100|catalogue|192-168-33-0-9100|session-db,queue-master_container-memory-max-usage-bytes,0.9,31,31,0.9197849462365592,0.8802150537634409,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,23,85.70970001164824,carts|catalogue-db|queue-master|192-168-15-8-9100|front-end,carts_container-memory-cache,0.9,31,31,0.9197849462365592,0.8802150537634409,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,321.4053999981843,carts|front-end|queue-master|192-168-76-116-9100|192-168-15-8-9100,carts_istio-latency-90,0.9,31,31,0.9197849462365592,0.8802150537634409,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,1,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,307.88820004090667,queue-master|192-168-15-8-9100|catalogue|192-168-33-0-9100|session-db,queue-master_container-memory-max-usage-bytes,0.9,31,31,0.8724731182795699,0.9275268817204301,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,23,85.29030001955107,carts|catalogue-db|queue-master|192-168-15-8-9100|front-end,carts_container-memory-cache,0.9,31,31,0.8724731182795699,0.9275268817204301,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,251.1244000052102,carts|front-end|queue-master|session-db|192-168-76-116-9100,carts_istio-latency-90,0.9,31,31,0.8724731182795699,0.9275268817204301,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,2,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,374.0177000290714,queue-master|catalogue|192-168-33-0-9100|session-db|front-end,queue-master_container-memory-max-usage-bytes,0.9,31,31,0.9332258064516129,0.8667741935483871,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,115.59750000014901,192-168-15-8-9100|carts|catalogue-db|queue-master|session-db,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9332258064516129,0.8667741935483871,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,292.6261000102386,carts|front-end|queue-master|192-168-76-116-9100|catalogue,carts_istio-latency-90,0.9,31,31,0.9332258064516129,0.8667741935483871,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
SS/carts_loss/4,SS,carts,loss,4,300,300,burst,0.1,3,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,378.76130000222474,queue-master|192-168-15-8-9100|catalogue|192-168-33-0-9100|session-db,queue-master_container-memory-max-usage-bytes,0.9,31,31,0.8980645161290323,0.9019354838709678,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,0e75314b958c79f921c8aca575b01f61676fdede5f8f17399234686bdc4b2caf,3513255,1693115580000000000,300
