case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,0,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,817.2924999962561,192-168-15-8-9100|192-168-33-0-9100|session-db|catalogue|payment,192-168-15-8-9100_node-memory-active-bytes,0.9,30,30,0.8866666666666667,0.9133333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,0,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,255.734299949836,carts|catalogue|payment|session-db|shipping,carts_container-memory-max-usage-bytes,0.9,30,30,0.8866666666666667,0.9133333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,686.9410999934189,payment|orders|front-end|catalogue|carts,payment_istio-latency-95,0.9,30,30,0.8866666666666667,0.9133333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,1,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,717.1714999713004,192-168-15-8-9100|192-168-33-0-9100|session-db|catalogue|payment,192-168-15-8-9100_node-memory-active-bytes,0.9,30,30,0.9148888888888889,0.8851111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,1,0.1,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,243.22000000393018,192-168-15-8-9100|carts|catalogue|payment|session-db,192-168-15-8-9100_node-memory-active-bytes,0.9,30,30,0.9148888888888889,0.8851111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,1,0.1,nsigma,2,0.5,0.8,0.045454545454545456,0,1,1,23,616.0251999972388,192-168-15-8-9100|payment|orders|front-end|catalogue,192-168-15-8-9100_node-memory-active-bytes,0.9,30,30,0.9148888888888889,0.8851111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,2,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,715.0657000020146,192-168-33-0-9100|192-168-15-8-9100|session-db|catalogue|192-168-37-154-9100,192-168-33-0-9100_node-memory-active-bytes,0.9,30,30,0.9203333333333333,0.8796666666666667,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,2,0.1,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,252.7133999974467,carts|catalogue-db|catalogue|payment|session-db,carts_container-memory-max-usage-bytes,0.9,30,30,0.9203333333333333,0.8796666666666667,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,620.7917999709025,payment|orders|front-end|catalogue|carts,payment_istio-latency-95,0.9,30,30,0.9203333333333333,0.8796666666666667,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
SS/payment_delay/5,SS,payment,delay,5,300,300,burst,0.1,3,0.1,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,748.1488999910653,192-168-33-0-9100|192-168-15-8-9100|session-db|payment|front-end,192-168-33-0-9100_node-memory-active-bytes,0.9,30,30,0.9161111111111111,0.8838888888888888,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,514568f0a16b3ff540de31ec8b27ca60d9daf786afb834f4948b5febd3a89059,3530533,1693154338000000000,300
