case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,0,0.1,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,426.4248000108637,orders|192-168-2-165-9100|catalogue|session-db|queue-master,orders_container-memory-max-usage-bytes,0.9,30,30,0.9085555555555556,0.8914444444444445,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,0,0.1,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,114.48139999993145,carts|catalogue-db|session-db|catalogue|192-168-2-165-9100,carts_container-memory-max-usage-bytes,0.9,30,30,0.9085555555555556,0.8914444444444445,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,299.24329998902977,catalogue|front-end|carts|session-db|shipping,catalogue_istio-latency-95,0.9,30,30,0.9085555555555556,0.8914444444444445,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,408.43829995719716,orders|catalogue|session-db|queue-master|front-end,orders_container-memory-max-usage-bytes,0.9,30,30,0.9036666666666666,0.8963333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,1,0.1,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,91.20139997685328,carts|catalogue-db|session-db|catalogue|front-end,carts_container-memory-max-usage-bytes,0.9,30,30,0.9036666666666666,0.8963333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,317.86160002229735,catalogue|front-end|carts|session-db|shipping,catalogue_istio-latency-95,0.9,30,30,0.9036666666666666,0.8963333333333333,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,374.1343999863602,catalogue|session-db|queue-master|front-end|user,catalogue_istio-latency-95,0.9,30,30,0.8978888888888888,0.9021111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,2,0.1,median_shift,5,0.2,0.2,0.18181818181818182,0,0,1,23,94.2466999986209,carts|catalogue-db|payment|session-db|catalogue,carts_container-memory-max-usage-bytes,0.9,30,30,0.8978888888888888,0.9021111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,263.7871000333689,catalogue|front-end|payment|carts|shipping,catalogue_istio-latency-95,0.9,30,30,0.8978888888888888,0.9021111111111111,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
SS/catalogue_delay/3,SS,catalogue,delay,3,300,300,burst,0.1,3,0.1,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,337.9577999585308,orders|192-168-2-165-9100|catalogue|session-db|queue-master,orders_container-memory-max-usage-bytes,0.9,30,30,0.8867777777777778,0.9132222222222223,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,ca37d64900c86d7572797ceab4e7b2e02473cbf812b7f99e65299a93c7ca6de8,3546162,1693199064000000000,300
