case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,0,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,444.6812000242062,queue-master|session-db|catalogue-db|front-end|carts,queue-master_container-memory-rss,0.9,31,31,0.9079569892473118,0.8920430107526882,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,100.08130001369864,192-168-15-8-9100|carts|catalogue|queue-master|session-db,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9079569892473118,0.8920430107526882,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,0,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,276.83709998382255,queue-master|front-end|orders|carts|shipping,queue-master_istio-latency-99,0.9,31,31,0.9079569892473118,0.8920430107526882,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,1,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,448.3165999990888,queue-master|catalogue-db|session-db|front-end|orders,queue-master_container-memory-rss,0.9,31,31,0.8643010752688172,0.9356989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,110.02500000176951,192-168-15-8-9100|carts|queue-master|session-db|shipping,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8643010752688172,0.9356989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,1,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,300.75290001695976,queue-master|front-end|orders|carts|shipping,queue-master_istio-latency-99,0.9,31,31,0.8643010752688172,0.9356989247311828,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,2,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,376.4204999897629,queue-master|catalogue-db|session-db|front-end|carts,queue-master_container-memory-rss,0.9,31,31,0.8691397849462366,0.9308602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,89.01290001813322,192-168-15-8-9100|carts|queue-master|session-db|shipping,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8691397849462366,0.9308602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,2,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,342.5179999903776,queue-master|front-end|orders|carts|shipping,queue-master_istio-latency-99,0.9,31,31,0.8691397849462366,0.9308602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
SS/carts_cpu/5,SS,carts,cpu,5,300,300,burst,0.1,3,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,377.46600003447384,queue-master|catalogue-db|session-db|front-end|orders,queue-master_container-memory-rss,0.9,31,31,0.9074193548387097,0.8925806451612903,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,f9ff8f92d5b77901704960b2e4155f8987731e5adf0e23002b5feed5a63a331a,3540494,1693104960000000000,300
