case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,305.91130000539124,orders|session-db|queue-master|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.8678494623655914,0.9321505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,0,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,102.29710000567138,carts|catalogue-db|orders|front-end|queue-master,carts_container-memory-max-usage-bytes,0.9,31,31,0.8678494623655914,0.9321505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,280.43550002621487,orders|front-end|catalogue|payment|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.8678494623655914,0.9321505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,394.19929997529835,orders|session-db|queue-master|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.9382795698924731,0.8617204301075269,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,1,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,111.862099962309,carts|catalogue-db|orders|front-end|queue-master,carts_container-memory-max-usage-bytes,0.9,31,31,0.9382795698924731,0.8617204301075269,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,287.14540001237765,orders|front-end|catalogue|payment|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.9382795698924731,0.8617204301075269,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,368.7138999812305,orders|session-db|queue-master|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.9291397849462366,0.8708602150537634,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,2,0.1,median_shift,4,0.25,0.4,0.13636363636363635,0,0,1,23,115.6605999567546,carts|catalogue-db|front-end|orders|queue-master,carts_container-memory-max-usage-bytes,0.9,31,31,0.9291397849462366,0.8708602150537634,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,378.6652999697253,orders|front-end|catalogue|payment|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.9291397849462366,0.8708602150537634,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,379.5597999705933,orders|session-db|queue-master|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.9077419354838709,0.892258064516129,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,3,0.1,median_shift,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,104.40240002935752,carts|catalogue-db|orders|front-end|queue-master,carts_container-memory-max-usage-bytes,0.9,31,31,0.9077419354838709,0.892258064516129,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,3,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,363.0107999779284,orders|front-end|catalogue|payment|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.9077419354838709,0.892258064516129,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
SS/orders_mem/2,SS,orders,mem,2,300,300,burst,0.1,4,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,340.2904999675229,orders|session-db|queue-master|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.9394623655913978,0.8605376344086022,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,eae9c4ddceb38d1b8f0f8902242b67d84b39a74163f6c84cd3a8403b10484092,3539846,1693140270000000000,300
