case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,0,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,465.5295999837108,orders|catalogue-db|session-db|front-end|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.9032258064516129,0.896774193548387,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,105.38630001246929,catalogue-db|orders|payment|queue-master|front-end,catalogue-db_container-memory-rss,0.9,31,31,0.9032258064516129,0.896774193548387,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,303.24440001277253,orders|catalogue|user|front-end|payment,orders_istio-latency-50,0.9,31,31,0.9032258064516129,0.896774193548387,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,1,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,340.70170001359656,orders|catalogue-db|session-db|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.8870967741935484,0.9129032258064517,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,108.99719997541979,catalogue-db|orders|payment|front-end|user,catalogue-db_container-memory-rss,0.9,31,31,0.8870967741935484,0.9129032258064517,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,327.5881999870762,orders|catalogue|front-end|user|payment,orders_istio-latency-50,0.9,31,31,0.8870967741935484,0.9129032258064517,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,2,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,434.95060002896935,orders|catalogue-db|session-db|front-end|user,orders_container-memory-max-usage-bytes,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,137.01629999559373,catalogue-db|orders|payment|front-end|user,catalogue-db_container-memory-rss,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,377.58540001232177,orders|user|catalogue|front-end|payment,orders_istio-latency-50,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,3,0.1,baro,1,1.0,1.0,0.0,1,1,1,23,419.8900999617763,orders|catalogue-db|session-db|front-end|catalogue,orders_container-memory-max-usage-bytes,0.9,31,31,0.8770967741935484,0.9229032258064516,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
SS/orders_mem/1,SS,orders,mem,1,300,300,burst,0.1,3,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,111.34910001419485,catalogue-db|orders|payment|rabbitmq-exporter|front-end,catalogue-db_container-memory-rss,0.9,31,31,0.8770967741935484,0.9229032258064516,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,10e6dfe82a0761aec61a47136c9c681e60bc9e3e48508291a60e3739ce8a3c01,3532362,1693089450000000000,300
