case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,0,0.10029763070295672,baro,5,0.2,0.2,0.2,0,0,1,21,700.1329000340775,shipping|session-db|orders|queue-master|payment,shipping_container-memory-rss,0.9,34,34,0.8946078431372549,0.9053921568627451,34,34,34,0.8946222741433022,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,0,0.10029763070295672,median_shift,3,0.3333333333333333,0.6,0.1,0,1,1,21,246.1759999860078,10-192-15-197-9100|front-end|payment|session-db|user,10-192-15-197-9100_node-disk-read-bytes-total,0.9,34,34,0.8946078431372549,0.9053921568627451,34,34,34,0.8946222741433022,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,0,0.10029763070295672,nsigma,2,0.5,0.8,0.05,0,1,1,21,610.6150000123307,user|payment|10-192-15-196-9100|shipping|orders,user_container-memory-failures-total,0.9,34,34,0.8946078431372549,0.9053921568627451,34,34,34,0.8946222741433022,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,1,0.09965145878206383,baro,5,0.2,0.2,0.2,0,0,1,21,720.074700016994,shipping|session-db|orders|queue-master|payment,shipping_container-memory-rss,0.9,34,34,0.9146078431372549,0.8853921568627451,34,34,34,0.8952647975077882,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,1,0.09965145878206383,median_shift,3,0.3333333333333333,0.6,0.1,0,1,1,21,240.07659999188036,10-192-15-197-9100|front-end|payment|session-db|user,10-192-15-197-9100_node-disk-read-bytes-total,0.9,34,34,0.9146078431372549,0.8853921568627451,34,34,34,0.8952647975077882,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,1,0.09965145878206383,nsigma,2,0.5,0.8,0.05,0,1,1,21,602.6308999862522,user|payment|10-192-15-196-9100|shipping|orders,user_container-memory-failures-total,0.9,34,34,0.9146078431372549,0.8853921568627451,34,34,34,0.8952647975077882,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,2,0.10012531819071863,baro,5,0.2,0.2,0.2,0,0,1,21,705.1799000473693,shipping|session-db|orders|queue-master|payment,shipping_container-memory-rss,0.9,34,34,0.9026470588235294,0.8973529411764706,34,34,34,0.8947936137071651,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,2,0.10012531819071863,median_shift,3,0.3333333333333333,0.6,0.1,0,1,1,21,237.66720003914088,10-192-15-197-9100|front-end|payment|session-db|shipping,10-192-15-197-9100_node-disk-read-bytes-total,0.9,34,34,0.9026470588235294,0.8973529411764706,34,34,34,0.8947936137071651,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,2,0.10012531819071863,nsigma,2,0.5,0.8,0.05,0,1,1,21,632.256300013978,user|payment|10-192-15-196-9100|shipping|orders,user_container-memory-failures-total,0.9,34,34,0.9026470588235294,0.8973529411764706,34,34,34,0.8947936137071651,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,3,0.10010965341687879,baro,4,0.25,0.4,0.15,0,0,1,21,769.7780000162311,shipping|session-db|queue-master|payment|user,shipping_container-memory-rss,0.9,34,34,0.8951960784313725,0.9048039215686274,34,34,34,0.8948091900311527,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,3,0.10010965341687879,median_shift,3,0.3333333333333333,0.6,0.1,0,1,1,21,269.3523000343703,10-192-15-197-9100|front-end|payment|session-db|user,10-192-15-197-9100_node-disk-read-bytes-total,0.9,34,34,0.8951960784313725,0.9048039215686274,34,34,34,0.8948091900311527,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,3,0.10010965341687879,nsigma,2,0.5,0.8,0.05,0,1,1,21,594.4361999863759,user|payment|10-192-15-196-9100|shipping|orders,user_container-memory-failures-total,0.9,34,34,0.8951960784313725,0.9048039215686274,34,34,34,0.8948091900311527,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,4,0.0999725866457803,baro,4,0.25,0.4,0.15,0,0,1,21,755.5479999864474,shipping|session-db|queue-master|payment|user,shipping_container-memory-rss,0.9,34,34,0.8999019607843137,0.9000980392156863,34,34,34,0.8949454828660436,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,4,0.0999725866457803,median_shift,3,0.3333333333333333,0.6,0.1,0,1,1,21,242.89080000016838,10-192-15-197-9100|front-end|payment|session-db|shipping,10-192-15-197-9100_node-disk-read-bytes-total,0.9,34,34,0.8999019607843137,0.9000980392156863,34,34,34,0.8949454828660436,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,4,0.0999725866457803,nsigma,2,0.5,0.8,0.05,0,1,1,21,609.7770999767818,user|payment|10-192-15-196-9100|shipping|orders,user_container-memory-failures-total,0.9,34,34,0.8999019607843137,0.9000980392156863,34,34,34,0.8949454828660436,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
SS/payment_disk/3,SS,payment,disk,3,300,300,burst,0.1,5,0.10005091051497944,baro,6,0.16666666666666666,0.0,0.25,0,0,0,21,699.0842000232078,shipping|session-db|orders|catalogue|queue-master,shipping_container-memory-rss,0.9,34,34,0.8827450980392156,0.9172549019607843,34,34,34,0.8948676012461059,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,b8d85f5fa6868ced679e3b55c51edd3438cb912d75290adb37504f537855fb9b,3342611,1702393536000000000,300
