case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,0,0.1,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,399.42779997363687,shipping|catalogue|front-end|session-db|user,shipping_container-memory-rss,0.9,30,30,0.9264444444444444,0.8735555555555555,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,95.66510003060102,catalogue-db|catalogue|orders|queue-master|session-db,catalogue-db_container-memory-failures-total,0.9,30,30,0.9264444444444444,0.8735555555555555,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,318.010899994988,catalogue|front-end|orders|user|shipping,catalogue_istio-latency-95,0.9,30,30,0.9264444444444444,0.8735555555555555,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,1,0.1,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,430.9963000123389,shipping|catalogue|front-end|session-db|user,shipping_container-memory-rss,0.9,30,30,0.8772222222222222,0.9227777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,116.94969999371096,catalogue-db|catalogue|orders|queue-master|session-db,catalogue-db_container-memory-failures-total,0.9,30,30,0.8772222222222222,0.9227777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,285.0064999656752,catalogue|front-end|orders|user|carts,catalogue_istio-latency-95,0.9,30,30,0.8772222222222222,0.9227777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,2,0.1,baro,2,0.5,0.8,0.045454545454545456,0,1,1,23,370.36699999589473,shipping|catalogue|front-end|session-db|orders,shipping_container-memory-rss,0.9,30,30,0.8912222222222222,0.9087777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,93.19229994434863,catalogue-db|catalogue|orders|queue-master|session-db,catalogue-db_container-memory-failures-total,0.9,30,30,0.8912222222222222,0.9087777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,291.3750999723561,catalogue|front-end|orders|user|carts,catalogue_istio-latency-95,0.9,30,30,0.8912222222222222,0.9087777777777778,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
SS/catalogue_delay/2,SS,catalogue,delay,2,300,300,burst,0.1,3,0.1,baro,3,0.3333333333333333,0.6,0.09090909090909091,0,1,1,23,318.14419996226206,shipping|session-db|catalogue|front-end|orders,shipping_container-memory-rss,0.9,30,30,0.9368888888888889,0.8631111111111112,30,30,30,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,bab1cb3cf0895493ae8f897752724abb4031870c783b2c00f0014d166932665c,3538442,1693197930000000000,300
