case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,0,0.1,baro,8,0.125,0.0,0.3181818181818182,0,0,0,23,353.1600999995135,192-168-15-8-9100|rabbitmq|session-db|catalogue-db|192-168-37-154-9100,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.938494623655914,0.861505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,0,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,23,92.11900003720075,carts|queue-master|front-end|orders|rabbitmq,carts_container-memory-cache,0.9,31,31,0.938494623655914,0.861505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,0,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,274.5387000031769,192-168-15-8-9100|front-end|orders|carts|queue-master,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.938494623655914,0.861505376344086,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,1,0.1,baro,7,0.14285714285714285,0.0,0.2727272727272727,0,0,0,23,351.8280999851413,192-168-15-8-9100|payment|session-db|catalogue-db|front-end,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9068817204301075,0.8931182795698924,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,1,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,23,84.85750004183501,carts|queue-master|front-end|orders|rabbitmq,carts_container-memory-cache,0.9,31,31,0.9068817204301075,0.8931182795698924,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,1,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,262.75980001082644,192-168-15-8-9100|front-end|orders|carts|queue-master,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9068817204301075,0.8931182795698924,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,2,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,362.08620003890246,192-168-15-8-9100|session-db|catalogue-db|front-end|orders,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8991397849462366,0.9008602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,2,0.1,median_shift,1,1.0,1.0,0.0,1,1,1,23,112.45720001170412,carts|payment|queue-master|front-end|orders,carts_container-memory-cache,0.9,31,31,0.8991397849462366,0.9008602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,2,0.1,nsigma,4,0.25,0.4,0.13636363636363635,0,0,1,23,290.04679998615757,192-168-15-8-9100|front-end|orders|carts|queue-master,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8991397849462366,0.9008602150537635,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
SS/carts_loss/5,SS,carts,loss,5,300,300,burst,0.1,3,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,386.37520000338554,192-168-15-8-9100|session-db|catalogue-db|front-end|orders,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9056989247311827,0.8943010752688172,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,a30482d222bcc9fdfef58331bd4a58ec4ff11459c51406754e7b9e60be514a88,3523880,1693116352000000000,300
