case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,0,0.1,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,314.61349996970966,192-168-15-8-9100|user|session-db|catalogue|front-end,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8872043010752688,0.9127956989247312,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,0,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,94.47740000905469,carts|catalogue|queue-master|user|192-168-15-8-9100,carts_container-memory-max-usage-bytes,0.9,31,31,0.8872043010752688,0.9127956989247312,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,0,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,287.04309999011457,catalogue|front-end|user|orders|192-168-15-8-9100,catalogue_container-memory-failures-total,0.9,31,31,0.8872043010752688,0.9127956989247312,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,1,0.1,baro,5,0.2,0.2,0.18181818181818182,0,0,1,23,382.2350999689661,192-168-15-8-9100|user|192-168-76-116-9100|session-db|catalogue,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8844086021505376,0.9155913978494624,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,1,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,119.53039997024462,carts|catalogue|orders|queue-master|session-db,carts_container-memory-max-usage-bytes,0.9,31,31,0.8844086021505376,0.9155913978494624,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,1,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,274.103700008709,catalogue|front-end|user|orders|192-168-15-8-9100,catalogue_container-memory-failures-total,0.9,31,31,0.8844086021505376,0.9155913978494624,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,2,0.1,baro,6,0.16666666666666666,0.0,0.22727272727272727,0,0,0,23,362.9469000152312,192-168-15-8-9100|user|session-db|192-168-33-0-9100|queue-master,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,2,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,109.05129997991025,carts|catalogue|orders|queue-master|session-db,carts_container-memory-max-usage-bytes,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,2,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,291.3096999982372,catalogue|front-end|user|orders|192-168-15-8-9100,catalogue_container-memory-failures-total,0.9,31,31,0.9058064516129032,0.8941935483870967,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,3,0.1,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,348.8814000156708,192-168-15-8-9100|user|session-db|catalogue|front-end,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.9005376344086021,0.8994623655913978,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,3,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,113.62099996767938,carts|catalogue|queue-master|session-db|user,carts_container-memory-max-usage-bytes,0.9,31,31,0.9005376344086021,0.8994623655913978,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,3,0.1,nsigma,1,1.0,1.0,0.0,1,1,1,23,297.3725000047125,catalogue|front-end|user|orders|192-168-15-8-9100,catalogue_container-memory-failures-total,0.9,31,31,0.9005376344086021,0.8994623655913978,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,4,0.1,baro,4,0.25,0.4,0.13636363636363635,0,0,1,23,394.1203999565914,192-168-15-8-9100|user|session-db|catalogue|front-end,192-168-15-8-9100_node-memory-active-bytes,0.9,31,31,0.8941935483870967,0.9058064516129032,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
SS/catalogue_mem/3,SS,catalogue,mem,3,300,300,burst,0.1,4,0.1,median_shift,2,0.5,0.8,0.045454545454545456,0,1,1,23,119.49440004536882,carts|catalogue|queue-master|session-db|user,carts_container-memory-max-usage-bytes,0.9,31,31,0.8941935483870967,0.9058064516129032,31,31,31,0.9,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,249af4923b45e5f8d990e6925e54696b25b34ce9e6d363ac195377ae2aeaecef,3554896,1693125848000000000,300
