case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,0,0.10000197189927539,baro,1,1.0,1.0,0.0,1,1,1,72,773.2644000207074,ts-route-service|ts-news-service|ts-food-service|ts-consign-price-service|ts-contacts-mongo,ts-route-service_container-fs-reads-total,0.899753086419753,27,27,0.9130864197530865,0.8864197530864197,27,27,27,0.8949250288350634,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,0,0.10000197189927539,median_shift,3,0.3333333333333333,0.6,0.028169014084507043,0,1,1,72,180.18530000699684,ts-news-service|ts-route-mongo|ts-route-service|ts-travel-mongo|ts-station-service,ts-news-service_container-memory-rss,0.899753086419753,27,27,0.9130864197530865,0.8864197530864197,27,27,27,0.8949250288350634,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,0,0.10000197189927539,nsigma,1,1.0,1.0,0.0,1,1,1,72,575.7756999810226,ts-route-service|ts-travel-plan-service|ts-station-service|ts-admin-route-service|ts-cancel-service,ts-route-service_container-fs-reads-total,0.899753086419753,27,27,0.9130864197530865,0.8864197530864197,27,27,27,0.8949250288350634,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,1,0.10000081195852516,baro,2,0.5,0.8,0.014084507042253521,0,1,1,72,764.9758000043221,ts-basic-service|ts-route-service|ts-news-service|ts-consign-price-service|ts-food-service,ts-basic-service_container-memory-rss,0.899753086419753,27,27,0.9233333333333333,0.8761728395061729,27,27,27,0.8949261822376009,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,1,0.10000081195852516,median_shift,3,0.3333333333333333,0.6,0.028169014084507043,0,1,1,72,185.53680001059547,ts-food-map-mongo|ts-news-service|ts-route-service|ts-user-service|ts-station-service,ts-food-map-mongo_container-memory-rss,0.899753086419753,27,27,0.9233333333333333,0.8761728395061729,27,27,27,0.8949261822376009,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,1,0.10000081195852516,nsigma,1,1.0,1.0,0.0,1,1,1,72,580.7152999914251,ts-route-service|ts-travel-plan-service|ts-station-service|ts-admin-route-service|ts-cancel-service,ts-route-service_container-fs-reads-total,0.899753086419753,27,27,0.9233333333333333,0.8761728395061729,27,27,27,0.8949261822376009,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,2,0.09999501225477403,baro,2,0.5,0.8,0.014084507042253521,0,1,1,72,761.8013999890536,ts-basic-service|ts-route-service|ts-news-service|ts-consign-price-service|ts-food-service,ts-basic-service_container-memory-rss,0.899753086419753,27,27,0.912962962962963,0.8865432098765432,27,27,27,0.8949319492502884,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,2,0.09999501225477403,median_shift,3,0.3333333333333333,0.6,0.028169014084507043,0,1,1,72,180.70389999775216,ts-food-map-mongo|ts-news-service|ts-route-service|ts-travel-mongo|ts-station-service,ts-food-map-mongo_container-memory-rss,0.899753086419753,27,27,0.912962962962963,0.8865432098765432,27,27,27,0.8949319492502884,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,2,0.09999501225477403,nsigma,1,1.0,1.0,0.0,1,1,1,72,579.806900001131,ts-route-service|ts-travel-plan-service|ts-station-service|ts-admin-route-service|ts-food-service,ts-route-service_container-fs-reads-total,0.899753086419753,27,27,0.912962962962963,0.8865432098765432,27,27,27,0.8949319492502884,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
TT/ts-route-service_disk/5,TT,ts-route-service,disk,5,300,300,burst,0.1,3,0.0999984920770247,baro,2,0.5,0.8,0.014084507042253521,0,1,1,72,748.2541999779642,ts-basic-service|ts-route-service|ts-news-service|ts-consign-price-service|ts-food-service,ts-basic-service_container-memory-rss,0.899753086419753,27,27,0.9267901234567901,0.8727160493827161,27,27,27,0.8949284890426759,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,27dbc413bbd60c5c029b5b282f1ca38a8970b9bada46084aa7893090942f3251,13018425,1702412954000000000,300
