mechanism,method,incidents,mean_auc,delta_vs_qarca
point,qarca,375,0.893916352098787,0.0
point,qarca_original_train,375,0.8647802751525259,-0.029136076946261094
point,qarca_no_quality,375,0.8989378423166301,0.005021490217843158
point,qarca_no_quality_original,375,0.8715574125263766,-0.02235893957241016
point,qarca_structural_only,375,0.22966101556392413,-0.6642553365348628
point,qarca_quality_only,375,0.329317537980695,-0.5645988141180919
point,qarca_no_incident_train,375,0.892031864216299,-0.0018844878824878833
burst,qarca,375,0.8303220590317305,0.0
burst,qarca_original_train,375,0.7519586016385615,-0.07836345739316905
burst,qarca_no_quality,375,0.8585169592275731,0.02819490019584238
burst,qarca_no_quality_original,375,0.8116922317780018,-0.018629827253728852
burst,qarca_structural_only,375,0.22966101556392413,-0.6006610434678064
burst,qarca_quality_only,375,0.30271396205473927,-0.5276080969769913
burst,qarca_no_incident_train,375,0.8439831460692049,0.013661087037474227
stream,qarca,375,0.862181333233327,0.0
stream,qarca_original_train,375,0.745363411210594,-0.11681792202273295
stream,qarca_no_quality,375,0.8618840662502498,-0.00029726698307730773
stream,qarca_no_quality_original,375,0.8277032628786632,-0.03447807035466396
stream,qarca_structural_only,375,0.22966101556392413,-0.6325203176694031
stream,qarca_quality_only,375,0.26033341150344724,-0.6018479217298799
stream,qarca_no_incident_train,375,0.8635051040919711,0.001323770858643958
incident,qarca,375,0.8404074411333865,0.0
incident,qarca_original_train,375,0.2963813841164663,-0.5440260570169203
incident,qarca_no_quality,375,0.5073577090761029,-0.33304973205728367
incident,qarca_no_quality_original,375,0.4855998147966128,-0.35480762633677376
incident,qarca_structural_only,375,0.22966101556392413,-0.6107464255694625
incident,qarca_quality_only,375,0.6653286830396868,-0.17507875809369963
incident,qarca_no_incident_train,375,0.5538826098837774,-0.2865248312496092
