system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,burst,0.1,baro,125,0.8525780952380952,0.25232142658019,0.90368,0.7576,0.9296,0.9792000000000001,0.0406,71.42393263964914,0.09999751367414579,0.022568314480521087
OB,burst,0.1,median_shift,125,0.72288,0.27692583857719844,0.8423999999999999,0.52,0.9144,0.9896,0.06559668174962292,13.340173040004448,0.09999751367414579,0.024768999991389973
OB,burst,0.1,nsigma,125,0.8533831746031746,0.26336870353660485,0.90352,0.764,0.9408,0.98,0.0406,58.34366776053794,0.09999751367414579,0.02355641297015351
OB,burst,0.1,qarca,125,0.8803041269841271,0.23015146044454235,0.92288,0.8064,0.94,0.9896,0.03242745098039215,52.75712887994014,0.09999751367414579,0.020585372426994025
OB,burst,0.1,qarca_no_incident_train,125,0.8853409523809523,0.2409329044574365,0.92304,0.8168,0.9304,0.9944,0.032113725490196074,52.51809280049056,0.09999751367414579,0.021549694095331605
OB,burst,0.1,qarca_no_quality,125,0.8856533333333333,0.241625033121207,0.9248,0.8176,0.936,0.9967999999999999,0.03131372549019607,52.3574064004235,0.09999751367414579,0.02161159996498628
OB,burst,0.1,qarca_no_quality_original,125,0.8934933333333334,0.23674118772228409,0.92768,0.8304,0.9288,0.996,0.03009411764705882,52.343497759616,0.09999751367414579,0.021174775552842633
OB,burst,0.1,qarca_original_train,125,0.7789996625596625,0.22087971232274098,0.84272,0.6552,0.8712000000000001,0.9488,0.07295957767722473,52.564975041290744,0.09999751367414579,0.019756082064169872
OB,burst,0.1,qarca_quality_only,125,0.2644063492063492,0.14393882269506605,0.2632,0.0728,0.2576,0.4576,0.3969469079939668,52.12915144106373,0.09999751367414579,0.012874279685898287
OB,burst,0.1,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,51.983952400228006,0.09999751367414579,0.01626035484806362
OB,burst,0.3,baro,125,0.7635822022422022,0.22707236426172442,0.82848,0.6312000000000001,0.8704,0.9336,0.07750859728506787,70.52931175939739,0.3000185372070358,0.020309969692032383
OB,burst,0.3,median_shift,125,0.6790828571428572,0.2516713692997846,0.816,0.448,0.9056000000000001,0.98,0.07691040723981898,13.231302399886772,0.3000185372070358,0.022510171589790882
OB,burst,0.3,nsigma,125,0.8577885714285715,0.2351678172134618,0.90864,0.7656000000000001,0.9368,0.9832000000000001,0.03918461538461538,58.28381168069318,0.3000185372070358,0.02103404901638183
OB,burst,0.3,qarca,125,0.8133669841269842,0.2135528975622144,0.8705600000000001,0.7072,0.9016000000000001,0.964,0.057647058823529405,53.343171598669144,0.3000185372070358,0.01910075182964642
OB,burst,0.3,qarca_no_incident_train,125,0.8679609523809524,0.22480553093525674,0.9184,0.7807999999999999,0.9416,0.9936,0.034199999999999994,53.09076559888199,0.3000185372070358,0.020107217955566636
OB,burst,0.3,qarca_no_quality,125,0.8803866666666667,0.2324718289481121,0.9222400000000001,0.8064,0.9344,0.9967999999999999,0.03239999999999999,52.93227647901513,0.3000185372070358,0.020792912495267282
OB,burst,0.3,qarca_no_quality_original,125,0.8837333333333334,0.2299454898783888,0.92384,0.8104,0.9336,0.9936,0.03173333333333333,52.91454623816535,0.3000185372070358,0.02056694985950269
OB,burst,0.3,qarca_original_train,125,0.6662085425685426,0.20052790350399097,0.74288,0.5032,0.7912,0.8936000000000001,0.12060935143288083,53.139141518529506,0.3000185372070358,0.01793576094481768
OB,burst,0.3,qarca_quality_only,125,0.2884288933288933,0.1064834775409391,0.29519999999999996,0.0968,0.2944,0.4968,0.3831490196078431,52.67992423865944,0.3000185372070358,0.00952417177048448
OB,burst,0.3,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,52.57444447758608,0.3000185372070358,0.01626035484806362
OB,burst,0.5,baro,125,0.6836342457542457,0.20851587464073953,0.75168,0.5327999999999999,0.8,0.8776,0.12332911010558069,67.79683735896833,0.5000301885741492,0.018650226803380725
OB,burst,0.5,median_shift,125,0.4616435209235209,0.1491696249724242,0.6184,0.1832,0.6984,0.9208,0.16324343891402715,12.773972159344703,0.5000301885741492,0.013342136864659628
OB,burst,0.5,nsigma,125,0.7721632034632034,0.22101022672926302,0.84608,0.632,0.8864,0.956,0.06727058823529411,56.100226561538875,0.5000301885741492,0.019767755627570924
OB,burst,0.5,qarca,125,0.6959095815295815,0.21550387654944086,0.77776,0.5336000000000001,0.8232,0.9216,0.10132156862745097,51.999437998840584,0.5000301885741492,0.019275252695170903
OB,burst,0.5,qarca_no_incident_train,125,0.7796339682539682,0.23641236234927035,0.8561599999999999,0.6432,0.8992,0.972,0.06184313725490195,51.745639119017866,0.5000301885741492,0.021145364517371215
OB,burst,0.5,qarca_no_quality,125,0.7964152380952382,0.2369990405808989,0.86976,0.664,0.908,0.9743999999999999,0.05531644042232276,51.60020799925551,0.5000301885741492,0.021197838613644847
OB,burst,0.5,qarca_no_quality_original,125,0.768599365079365,0.23438045588401582,0.85136,0.6192000000000001,0.9024,0.9648,0.06376349924585217,51.58095127940178,0.5000301885741492,0.020963625278161997
OB,burst,0.5,qarca_original_train,125,0.6114676279276279,0.20594509764556979,0.72096,0.4008,0.7847999999999999,0.9096000000000001,0.12749260935143286,51.81097519840114,0.5000301885741492,0.018420289518733035
OB,burst,0.5,qarca_quality_only,125,0.2770864513264513,0.08443832848826707,0.27792,0.0928,0.2776,0.4624,0.41312911010558073,51.355511360382664,0.5000301885741492,0.0075523936962488885
OB,burst,0.5,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,51.24852431812324,0.5000301885741492,0.01626035484806362
OB,incident,0.1,baro,125,0.7675395382395382,0.30613015048532866,0.82912,0.64,0.8512000000000001,0.944,0.07673333333333332,71.4704292783048,0.10000016523843418,0.027381113057897404
OB,incident,0.1,median_shift,125,0.6926898412698412,0.32321994586576014,0.78464,0.5176000000000001,0.8232,0.9528,0.09368205128205127,13.3567634399049,0.10000016523843418,0.02890967082558567
OB,incident,0.1,nsigma,125,0.7753342057942058,0.3283221441930346,0.81808,0.6736,0.8512000000000001,0.9072,0.09539999999999998,58.045113439485434,0.10000016523843418,0.029366025317364527
