method,mechanism,rate,incidents,mean_ms,median_ms,p95_ms
baro,burst,0.1,375,392.0506140264993,373.9742700010538,1036.1818279878935
baro,burst,0.3,375,388.27937573329547,370.58515999815427,1045.7380630052648
baro,burst,0.5,375,375.884261839216,362.6385699957609,1007.6195380033461
baro,incident,0.1,375,397.3163878393825,376.93259999505244,1024.69190299802
baro,incident,0.3,375,389.5117428003189,366.1919200036209,1005.104546005023
baro,incident,0.5,375,380.8218873597992,360.15684000449255,977.2138900007122
baro,none,0.0,375,455.9538354645483,416.15360003197566,1193.8593399594538
baro,point,0.1,375,407.68864551920757,385.29277000343427,1093.0547719949393
baro,point,0.3,375,410.2984343202785,386.18998997844756,1085.3170480031986
baro,point,0.5,375,406.77676402685853,389.18282000231557,1056.8064550001873
baro,stream,0.1,375,376.55331442647923,354.75727999582887,978.8445029995638
baro,stream,0.3,375,317.5531290664803,303.21598000009544,814.1375860047993
baro,stream,0.5,375,264.73193386695345,253.21390999597497,705.1152920071036
median_shift,burst,0.1,375,107.93842890692564,107.163399993442,292.8777619957692
median_shift,burst,0.3,375,107.2412924269059,106.6737600020133,299.45905998756643
median_shift,burst,0.5,375,105.43167271922964,104.74129000212997,294.5989459904377
median_shift,incident,0.1,375,112.49297058678543,107.97151000588201,304.7926379955607
median_shift,incident,0.3,375,114.48682722657298,108.224199997494,310.0660690048244
median_shift,incident,0.5,375,113.04741386699801,108.62880999338813,316.91779200278694
median_shift,none,0.0,375,111.87822213380907,108.31989999860524,280.8346400095616
median_shift,point,0.1,375,114.11502669338758,109.9660000007134,317.19841699930845
median_shift,point,0.3,375,113.41175423941264,109.04015000560321,311.6674199985573
median_shift,point,0.5,375,110.639831066768,107.94525000383146,296.68081799114594
median_shift,stream,0.1,375,104.10868594661976,100.63130999333225,276.3518149941229
median_shift,stream,0.3,375,87.41091058688859,86.6453199996613,234.0861890092492
median_shift,stream,0.5,375,73.12737381320136,71.69906998169608,194.68189899984284
nsigma,burst,0.1,375,322.32105149355095,307.7560100064147,870.6902109924704
nsigma,burst,0.3,375,320.96593997352755,304.9030800058972,874.5195580017753
nsigma,burst,0.5,375,310.5443396278657,299.87689999397844,821.2064640061001
nsigma,incident,0.1,375,329.79279149337674,314.4332700059749,843.2258880086011
nsigma,incident,0.3,375,325.1959077071709,305.1614099997096,844.0001780033346
nsigma,incident,0.5,375,322.13796920006473,301.94981998647563,853.984922003583
nsigma,none,0.0,375,397.1324970689602,382.1062999777496,1031.3391299918294
nsigma,point,0.1,375,337.82384242645156,314.82843000558205,894.0303659939673
nsigma,point,0.3,375,340.4292293326929,322.0126499887556,898.9941299974453
nsigma,point,0.5,375,338.42584061374265,322.13122000102885,870.9630209975877
nsigma,stream,0.1,375,314.02778802706547,296.1915200052317,819.2629430029774
nsigma,stream,0.3,375,269.3814490669252,256.16648999857716,718.3087789890124
nsigma,stream,0.5,375,230.74222589279526,219.3086800049059,618.7231280090056
qarca,burst,0.1,375,1802.8992601333496,575.0128299987409,1666.2834379973356
qarca,burst,0.3,375,939.808953119209,593.8730500056408,1723.2553460041527
qarca,burst,0.5,375,1792.4370604260205,597.2967799927574,1687.7093820011942
qarca,incident,0.1,375,540.0710020258401,579.939000000013,1681.841634999728
qarca,incident,0.3,375,551.8482715990084,604.2844899813645,1666.9261880067643
qarca,incident,0.5,375,562.0451731739411,606.7128900147509,1702.763467997429
qarca,none,0.0,375,585.9773696021488,585.8185000251979,1684.1228200646583
qarca,point,0.1,375,575.4268554668719,581.2107599864248,1730.0376360013615
qarca,point,0.3,375,571.3618981869581,582.2013199911453,1688.4275130031165
qarca,point,0.5,375,2443.1945563202103,596.4363599894568,1727.371101998724
qarca,stream,0.1,375,517.0187031730699,547.4183400103357,1574.2704799899366
qarca,stream,0.3,375,448.2498357594789,478.0391499924008,1376.467456005048
qarca,stream,0.5,375,388.4498249876934,425.770349992672,1177.9135759948986
qarca_no_incident_train,burst,0.1,375,1802.4804157331896,574.7308999998495,1665.8401329925982
qarca_no_incident_train,burst,0.3,375,939.3865566390722,594.0596400003415,1722.7925859898096
qarca_no_incident_train,burst,0.5,375,1792.0798674129726,597.2767499973997,1687.024106014287
qarca_no_incident_train,incident,0.1,375,539.6822006932615,579.4605600065552,1681.3371980085506
qarca_no_incident_train,incident,0.3,375,551.4454568525621,603.7690499797463,1665.980898005073
qarca_no_incident_train,incident,0.5,375,561.6533074139618,606.2422899820376,1702.2780519898515
qarca_no_incident_train,none,0.0,375,582.1781904022209,573.0805000057444,1653.977360011777
qarca_no_incident_train,point,0.1,375,574.9611974658444,580.121139989933,1729.4985809968784
qarca_no_incident_train,point,0.3,375,570.9325629862026,581.9830300228205,1688.1023609958356
qarca_no_incident_train,point,0.5,375,2442.8020508533655,596.0418300004676,1726.8571809964487
qarca_no_incident_train,stream,0.1,375,516.6488976271513,546.9876300077885,1573.9857769961236
qarca_no_incident_train,stream,0.3,375,447.8764829855567,477.76321000419557,1376.2218560045585
qarca_no_incident_train,stream,0.5,375,388.05986741433543,425.24881998542696,1177.6748469972517
qarca_no_quality,burst,0.1,375,1802.3254021867644,574.5904800016433,1666.0431359952781
qarca_no_quality,burst,0.3,375,939.2273349329054,593.3790500101168,1722.5037979969056
qarca_no_quality,burst,0.5,375,1791.9072321333456,596.9876399904024,1687.0907990029082
qarca_no_quality,incident,0.1,375,539.5125770660118,579.5070699648932,1681.1716170021102
qarca_no_quality,incident,0.3,375,551.2744867995382,603.6158599948976,1665.7434020005167
qarca_no_quality,incident,0.5,375,561.4925479999123,605.4831699933857,1701.8877450021682
qarca_no_quality,none,0.0,375,581.9671856008159,573.5299000516534,1653.829380008392
qarca_no_quality,point,0.1,375,574.7814636267566,580.7487799902447,1729.5239509973908
qarca_no_quality,point,0.3,375,570.7659387460288,581.786959990859,1687.7615909877932
qarca_no_quality,point,0.5,375,2442.6230352263433,595.6631399982143,1726.5086360054556
qarca_no_quality,stream,0.1,375,516.4907793602285,546.743040002184,1573.6868289974518
qarca_no_quality,stream,0.3,375,447.6953964528628,477.55938000627793,1375.9054380108137
qarca_no_quality,stream,0.5,375,387.89676490716323,425.30988000216894,1177.3272040009033
qarca_no_quality_original,burst,0.1,375,1802.3068820792562,574.5524800091516,1665.88786599983
qarca_no_quality_original,burst,0.3,375,939.1937397586337,592.8438800096046,1722.5165299983928
qarca_no_quality_original,burst,0.5,375,1791.8871259730774,597.5403799966443,1686.802020004252
qarca_no_quality_original,incident,0.1,375,539.4811514937319,579.2945800174493,1681.3043170125459
qarca_no_quality_original,incident,0.3,375,551.2236503988349,603.7237300013658,1665.9891889977735
qarca_no_quality_original,incident,0.5,375,561.4536047733078,605.667339998763,1701.54987799644
qarca_no_quality_original,none,0.0,375,581.9386938662889,572.8867999860086,1653.8382700120565
qarca_no_quality_original,point,0.1,375,574.7586581331367,580.0704499881249,1729.3657900049584
qarca_no_quality_original,point,0.3,375,570.7340502391725,581.6207699943334,1687.683375000488
qarca_no_quality_original,point,0.5,375,2442.5964809857464,595.4901100019924,1726.358625998837
qarca_no_quality_original,stream,0.1,375,516.4375607998421,546.6413000191096,1573.7772839877289
qarca_no_quality_original,stream,0.3,375,447.67427914609823,477.6726799842436,1375.8378130017081
qarca_no_quality_original,stream,0.5,375,387.8657678136136,425.388950004708,1177.4145310057793
qarca_original_train,burst,0.1,375,1802.5708428003825,574.7255199996289,1665.945166994352
qarca_original_train,burst,0.3,375,939.4544527723453,593.4520999959204,1722.6583669928368
qarca_original_train,burst,0.5,375,1792.1310578929415,597.0277099986561,1687.0419160003075
qarca_original_train,incident,0.1,375,539.7400321338171,579.5963999815285,1681.9377030030594
qarca_original_train,incident,0.3,375,551.5038280529436,604.1809600079432,1665.931061002193
qarca_original_train,incident,0.5,375,561.6974652264112,606.4834500080906,1702.0860449969769
qarca_original_train,none,0.0,375,582.2628872022033,573.1901999679394,1654.5264300133567
qarca_original_train,point,0.1,375,575.0367252533014,581.3573299965356,1729.5960819919128
qarca_original_train,point,0.3,375,571.0081000794502,581.9919100089464,1687.9617649986176
qarca_original_train,point,0.5,375,2442.8187366936822,595.9791399945971,1726.868469993933
qarca_original_train,stream,0.1,375,516.6922068001547,547.0396400080062,1573.9851629803888
qarca_original_train,stream,0.3,375,447.93364479932933,477.9832500091288,1376.1482600076124
qarca_original_train,stream,0.5,375,388.12713048012614,425.4544400027953,1177.6492100016912
qarca_quality_only,burst,0.1,375,1802.01655813364,574.0158300090116,1665.4028200049652
qarca_quality_only,burst,0.3,375,938.8898713587938,592.7161500148941,1722.1795099962037
