method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
baro,375,0.5297457217590344,0.37824512161620355,0.5797333333333333,0.36533333333333334,0.592,0.744,0.08402831923468786,455.9538354645483,0.0,0.019532494090716737
median_shift,375,0.5018376041874897,0.36052809975024797,0.5829333333333333,0.30666666666666664,0.6426666666666667,0.7413333333333333,0.08747518791339977,111.87822213380907,0.0,0.018617591015633556
nsigma,375,0.7606198412698412,0.31498537557896306,0.8410666666666666,0.616,0.8853333333333333,0.9626666666666667,0.03169363197189283,397.1324970689602,0.0,0.016265774852216166
qarca,375,0.8903600644122383,0.25386679193539063,0.92,0.8346666666666667,0.9306666666666666,0.9786666666666667,0.02493017127799736,585.9773696021488,0.0,0.013109624764278283
qarca_no_incident_train,375,0.8915800074321812,0.25356291331162845,0.9205333333333333,0.8373333333333334,0.9333333333333333,0.9786666666666667,0.025389547650417215,582.1781904022209,0.0,0.013093932539623626
qarca_no_quality,375,0.8968890983412722,0.24993214488624077,0.9237333333333333,0.8453333333333334,0.936,0.9706666666666667,0.02611857707509881,581.9671856008159,0.0,0.012906440464350796
qarca_no_quality_original,375,0.869435821987996,0.2718159599734755,0.9056000000000001,0.8026666666666666,0.92,0.9733333333333334,0.027721387790953,581.9386938662889,0.0,0.014036515816142034
qarca_original_train,375,0.8621538114059853,0.27728555173227937,0.9002666666666668,0.792,0.9173333333333333,0.9706666666666667,0.02905032938076416,582.2628872022033,0.0,0.01431896432004071
qarca_quality_only,375,0.27121572234918606,0.3319332655675777,0.22240000000000001,0.15733333333333333,0.23466666666666666,0.25333333333333335,0.3635164450293012,581.689995468439,0.0,0.017140960127939628
qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,581.4196701343171,0.0,0.013295791806278214
