mechanism,method,incidents,mean_auc,sd_auc
burst,baro,375,0.4635970170770767,0.30318738338160905
burst,median_shift,375,0.4359581562208837,0.30303935713287106
burst,nsigma,375,0.73914613606656,0.2808577087370946
burst,qarca,375,0.8303220590317305,0.22474117962278067
burst,qarca_no_incident_train,375,0.8439831460692047,0.2359017552675032
burst,qarca_no_quality,375,0.8585169592275729,0.22928264593038242
burst,qarca_no_quality_original,375,0.8116922317780016,0.24681303678545105
burst,qarca_original_train,375,0.7519586016385615,0.23424367048504252
burst,qarca_quality_only,375,0.30271396205473927,0.1856968782676829
burst,qarca_structural_only,375,0.2296610155639241,0.25747190120178276
incident,baro,375,0.2994757566823715,0.21962090590843852
incident,median_shift,375,0.32200349445940213,0.2155885721196546
incident,nsigma,375,0.3745188941987321,0.2009125424377278
incident,qarca,375,0.8404074411333865,0.23336644118710265
incident,qarca_no_incident_train,375,0.5538826098837774,0.23111801961682424
incident,qarca_no_quality,375,0.5073577090761029,0.23875590786388995
incident,qarca_no_quality_original,375,0.4855998147966128,0.22143111105119836
incident,qarca_original_train,375,0.2963813841164663,0.1708253831117835
incident,qarca_quality_only,375,0.6653286830396868,0.2728304034589567
incident,qarca_structural_only,375,0.2296610155639241,0.25747190120178276
point,baro,375,0.5291039783268987,0.37726493106119907
point,median_shift,375,0.49980440223368694,0.35627210893303224
point,nsigma,375,0.7611637137930688,0.3133278222034731
point,qarca,375,0.893916352098787,0.23966507397135273
point,qarca_no_incident_train,375,0.892031864216299,0.244309280176868
point,qarca_no_quality,375,0.8989378423166301,0.24062069778347647
point,qarca_no_quality_original,375,0.8715574125263766,0.265329135765592
point,qarca_original_train,375,0.8647802751525259,0.2670574075409562
point,qarca_quality_only,375,0.329317537980695,0.26544223260754835
point,qarca_structural_only,375,0.2296610155639241,0.25747190120178276
stream,baro,375,0.5128748932324212,0.31540227853561
stream,median_shift,375,0.513031317206657,0.3201993215300075
stream,nsigma,375,0.7354554483682723,0.26445066049110477
stream,qarca,375,0.8621813332333272,0.21446160402067177
stream,qarca_no_incident_train,375,0.8635051040919711,0.21643948412752315
stream,qarca_no_quality,375,0.8618840662502498,0.21073461793735382
stream,qarca_no_quality_original,375,0.8277032628786631,0.22760229460277762
stream,qarca_original_train,375,0.7453634112105942,0.23000176361241817
stream,qarca_quality_only,375,0.26033341150344724,0.12537620691922374
stream,qarca_structural_only,375,0.2296610155639241,0.25747190120178276
