method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
baro,burst,0.1,375,375,1.0,0.5281022835400542,0.5281022835400542,0.3714666666666667,0.3714666666666667,0.08710151084813667,0.08710151084813667,0.0
baro,burst,0.3,375,375,1.0,0.4419692552407834,0.4419692552407834,0.28853333333333336,0.28853333333333336,0.16176781104162538,0.16176781104162538,0.0002666666666666667
baro,burst,0.5,375,375,1.0,0.3770202887142184,0.3770202887142184,0.21333333333333335,0.21333333333333335,0.20431949609060374,0.20431949609060374,0.0005333333333333334
baro,incident,0.1,375,375,1.0,0.46592306222221236,0.46592306222221236,0.31093333333333334,0.31093333333333334,0.1398878520839574,0.1398878520839574,0.0
baro,incident,0.3,375,375,1.0,0.1909877385774175,0.1909877385774175,0.07626666666666668,0.07626666666666668,0.44807836914675286,0.44807836914675286,0.009866666666666668
baro,incident,0.5,375,375,1.0,0.15164585204418657,0.15164585204418657,0.037333333333333336,0.037333333333333336,0.4981055109482731,0.4981055109482731,0.0224
baro,none,0.0,375,375,1.0,0.5297457217590344,0.5297457217590344,0.36533333333333334,0.36533333333333334,0.08402831923468786,0.08402831923468786,0.0
baro,point,0.1,375,375,1.0,0.5293558118940531,0.5293558118940531,0.3664,0.3664,0.08450767823453675,0.08450767823453675,0.0
baro,point,0.3,375,375,1.0,0.529472797222354,0.529472797222354,0.36826666666666663,0.36826666666666663,0.08480780426078648,0.08480780426078648,0.0
baro,point,0.5,375,375,1.0,0.5276677184691888,0.5276677184691888,0.36719999999999997,0.36719999999999997,0.08520272086626035,0.08520272086626035,0.0
baro,stream,0.1,375,375,1.0,0.5246289118399685,0.5246289118399685,0.356,0.356,0.08443812012169634,0.08443812012169634,0.0002666666666666667
baro,stream,0.3,375,375,0.9989333333333333,0.51067287958453,0.5114844790961295,0.3352,0.3360592592592593,0.09317695888108624,0.09220658851071586,0.0010666666666666667
baro,stream,0.5,375,375,0.9893333333333333,0.4912124783535758,0.4987290128067769,0.30933333333333335,0.316805291005291,0.11188088954091906,0.10233165206815217,0.011733333333333333
median_shift,burst,0.1,375,375,1.0,0.4985699222043071,0.4985699222043071,0.30186666666666667,0.30186666666666667,0.08799249423606902,0.08799249423606902,0.0
median_shift,burst,0.3,375,375,1.0,0.45106432712699074,0.45106432712699074,0.2488,0.2488,0.10996265309929514,0.10996265309929514,0.0
median_shift,burst,0.5,375,375,1.0,0.2788884414502312,0.2788884414502312,0.0832,0.0832,0.2185833749245283,0.2185833749245283,0.0
median_shift,incident,0.1,375,375,1.0,0.48632255962296306,0.48632255962296306,0.3288,0.3288,0.13806911889498538,0.13806911889498538,0.0
