system,method,training_elapsed_ms,training_incidents,training_variants_per_incident,fold_fingerprint
OB,qarca,5118.5073999804445,250.0,13.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_no_incident_train,3555.1611999981105,250.0,10.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_no_quality,2825.1899000024423,250.0,13.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_no_quality_original,119.29900001268834,250.0,1.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_original_train,229.02869997778907,250.0,1.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_quality_only,1767.2458000015467,250.0,13.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
OB,qarca_structural_only,440.5643999925815,250.0,13.0,1926e920d44f01d3a385aa012f3b9cc9a6c9ddd1df385bcf64be56060d0a7c5b
SS,qarca,5990.157500025816,250.0,13.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_no_incident_train,4170.539800019469,250.0,10.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_no_quality,3119.0769000095315,250.0,13.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_no_quality_original,121.12510000588372,250.0,1.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_original_train,211.8792000110261,250.0,1.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_quality_only,1628.579100011848,250.0,13.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
SS,qarca_structural_only,472.7295999764465,250.0,13.0,a7f3114b28272b40b09fcf4c5fe57b4a3deb68bf56e7af1dce784af4b509835d
TT,qarca,4738.579600001685,250.0,13.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_no_incident_train,3056.828000000678,250.0,10.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_no_quality,2347.2119999933057,250.0,13.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_no_quality_original,119.62399998446926,250.0,1.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_original_train,224.12640001857653,250.0,1.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_quality_only,1874.6835000347344,250.0,13.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
TT,qarca_structural_only,416.3266000105068,250.0,13.0,1c806a45bb10ea801d9af20d5f3af305996cdab520d8b2dcb9c6241a2ff84978
